accession	gene	Intensity 31579	Intensity 31581	Intensity 31578	Intensity 31580
Q6P5E4	Uggt1	2353200000.0	2298300000.0	2170400000.0	2350300000.0
P37889	Fbln2	2665500000.0	11234000000.0	3241000000.0	8715300000.0
Q99KK7	Dpp3	2662100000.0	2183200000.0	5001500000.0	4602700000.0
Q8K0E8	Fgb	13514000000.0	22937000000.0	7745100000.0	18310000000.0
Q5SUR0	Pfas	2065100000.0	2307800000.0	2539400000.0	1873500000.0
P22777	Serpine1	42249000000.0	81329000000.0	46746000000.0	120370000000.0
Q3U962	Col5a2	376680000.0	6215900000.0	719270000.0	8091000000.0
P60710	Actb	1289700000.0	2302700000.0	2447100000.0	363070000.0
P63260	Actg1	74256000000.0	113930000000.0	108290000000.0	104350000000.0
P18760	Cfl1	11077000000.0	23143000000.0	20120000000.0	20040000000.0
P06151	Ldha	45130000000.0	38558000000.0	39897000000.0	76510000000.0
Q9DCD0	Pgd	9851900000.0	11016000000.0	14109000000.0	26149000000.0
Q9JHR7	Ide	1034100000.0	1579100000.0	1892800000.0	1106900000.0
O35685	Nudc	2273200000.0	1078100000.0	3273200000.0	1123200000.0
Q9EQH2	Erap1	2123600000.0	2092300000.0	3294700000.0	1692400000.0
P50247	Ahcy	3210600000.0	2848200000.0	7496800000.0	5585200000.0
Q80W21	Gstm7	4354500000.0	5999300000.0	5766400000.0	4839000000.0
P05202	Got2	11250000000.0	13273000000.0	17492000000.0	13299000000.0
Q9D964	Gatm	4378500000.0	3915400000.0	9875700000.0	5632800000.0
Q9R1E6	Enpp2	3598700000.0	3730400000.0	4423700000.0	1639100000.0
O09159	Man2b1	2421700000.0	3752400000.0	3407100000.0	3348700000.0
P12023	App	8948500000.0	20526000000.0	12767000000.0	14358000000.0
Q8BGQ7	Aars	909180000.0	411050000.0	1459000000.0	351290000.0
P40124	Cap1	4885900000.0	4924400000.0	4579000000.0	6409700000.0
P60843	Eif4a1	12834000000.0	12877000000.0	17236000000.0	16641000000.0
P70168	Kpnb1	5660700000.0	7727600000.0	5574600000.0	6656000000.0
P42932	Cct8	2142600000.0	2470200000.0	1896300000.0	1348500000.0
P68254	Ywhaq	8966000000.0	11568000000.0	9152600000.0	10319000000.0
Q8C1A5	Thop1	5145900000.0	3073800000.0	5975500000.0	3698200000.0
Q8CG14	C1sa	48072000000.0	27523000000.0	44294000000.0	32231000000.0
P08071	Ltf	775160000.0	57047000000.0	2229000000.0	77109000000.0
Q02788	Col6a2	1339300000.0	5250900000.0	1566300000.0	17259000000.0
P97798	Neo1	4567800000.0	5488900000.0	2331800000.0	1400100000.0
Q64449	Mrc2	391970000.0	379980000.0	741490000.0	1039900000.0
P37804	Tagln	11115000000.0	10740000000.0	9810600000.0	10596000000.0
P63101	Ywhaz	54547000000.0	61754000000.0	70749000000.0	86657000000.0
P09405	Ncl	2839200000.0	7599500000.0	4957100000.0	10717000000.0
Q8CFX1	H6pd	3593900000.0	3303700000.0	5683200000.0	5446800000.0
O88569	Hnrnpa2b1	12102000000.0	11607000000.0	13825000000.0	12226000000.0
Q8CG16;Q8CFG9	C1ra;C1rb	10894000000.0	7493900000.0	12746000000.0	8392200000.0
Q8K2I4	Manba	1646200000.0	3555700000.0	2615400000.0	3248300000.0
Q640N1	Aebp1	583830000.0	4044700000.0	548690000.0	4910700000.0
Q61207	Psap	14787000000.0	10830000000.0	15423000000.0	6831400000.0
Q8CG19	Ltbp1	1190200000.0	1835200000.0	2110200000.0	1812500000.0
O35887	Calu	13356000000.0	20141000000.0	17832000000.0	16516000000.0
P68369	Tuba1a		46145000.0	28114000000.0	19820000000.0
Q3TXS7	Psmd1	1203600000.0	1497800000.0	1501200000.0	1083200000.0
O08638	Myh11	74296000.0	230260000.0	342990000.0	327390000.0
Q9QUR6	Prep	1902800000.0	1694200000.0	2589800000.0	2228700000.0
P06745	Gpi	28283000000.0	28774000000.0	31221000000.0	35216000000.0
Q60854	Serpinb6	9767400000.0	14638000000.0	16076000000.0	12568000000.0
Q9D0F9	Pgm1	7429100000.0	8498200000.0	8394700000.0	8193000000.0
Q922R8	Pdia6	10498000000.0	6639100000.0	22513000000.0	12660000000.0
Q61425	Hadh	5642900000.0	9128200000.0	18888000000.0	6421500000.0
P21180	C2	3006900000.0	2723900000.0	3491400000.0	3803800000.0
Q04998	Inhba	1612000000.0	3392600000.0	2401800000.0	3983800000.0
Q61581	Igfbp7	12387000000.0	37354000000.0	17171000000.0	41913000000.0
P68372;Q9D6F9	Tubb4b;Tubb4a	14964000000.0	11585000000.0	20471000000.0	13645000000.0
Q9JII6	Akr1a1	10423000000.0	11946000000.0	14417000000.0	10247000000.0
Q8CI94	Pygb	1492000000.0	2359700000.0	2534500000.0	2144800000.0
P05201	Got1	5939200000.0	4242600000.0	8360200000.0	5445400000.0
P29758	Oat	9528200000.0	7217600000.0	13981000000.0	7805600000.0
P17563;Q63836	Selenbp1;Selenbp2	10744000000.0	5757400000.0	11950000000.0	10454000000.0
Q02257	Jup	115480000.0	154180000.0	359810000.0	113090000.0
Q8VCM7	Fgg	7931400000.0	25373000000.0	8821000000.0	13900000000.0
P00342	Ldhc	18763000000.0	10300000000.0	27312000000.0	7952600000.0
E9PV24	Fga	8362700000.0	16544000000.0	5469900000.0	10457000000.0
Q9JMB7	Piwil1	414180000.0		1087800000.0	
P07214	Sparc	154240000000.0	168410000000.0	215720000000.0	205790000000.0
Q8BND5	Qsox1	8485200000.0	15171000000.0	7154600000.0	14467000000.0
P10605	Ctsb	15517000000.0	26673000000.0	17342000000.0	28126000000.0
Q6GQT1	A2mp	361970000.0	161540000.0	399910000.0	373080000.0
Q9QUR8	Sema7a	5594800000.0	3161200000.0	5013300000.0	3090700000.0
Q8K4G1	Ltbp4	339210000.0	885100000.0	395280000.0	753610000.0
Q8VDD5	Myh9	105890000.0	1087100000.0	422670000.0	1386500000.0
P05214	Tuba3a	778890000.0	53424000.0	1517400000.0	100160000.0
Q62318	Trim28	918820000.0	335700000.0	1214000000.0	219610000.0
O55029	Copb2	1703900000.0	1412700000.0	2176200000.0	1363200000.0
Q9ERK4	Cse1l	1549700000.0	855590000.0	1869300000.0	893660000.0
P28271	Aco1	1307700000.0	2125200000.0	2416900000.0	1962200000.0
Q99JY9	Actr3	4354000000.0	4515400000.0	7362200000.0	7528400000.0
Q9EQK5	Mvp	75610000.0	1296600000.0	1242800000.0	945160000.0
P24549	Aldh1a1	11953000000.0	5991700000.0	9159200000.0	9000200000.0
P99024	Tubb5	3616400000.0	4869300000.0	4465900000.0	3603600000.0
B2RQC6	Cad	100800000.0	46754000.0	201050000.0	107570000.0
P10630	Eif4a2	988110000.0	328230000.0	1410100000.0	480930000.0
P10126	Eef1a1	11982000000.0	13795000000.0	12059000000.0	16595000000.0
Q8R016	Blmh	5413200000.0	2469400000.0	6734300000.0	6236900000.0
Q00519	Xdh	674360000.0	838040000.0	1262400000.0	1106400000.0
Q9JHU9	Isyna1	25089000000.0	28223000000.0	33628000000.0	25428000000.0
P16125	Ldhb	47038000000.0	33664000000.0	71360000000.0	35205000000.0
P24527	Lta4h	4909800000.0	6862200000.0	6025800000.0	4250100000.0
Q62356	Fstl1	8417600000.0	11265000000.0	10866000000.0	22155000000.0
Q91WP6	Serpina3n	22888000000.0	24894000000.0	17620000000.0	51400000000.0
Q8BH34	Sema3d	5913100000.0	2552200000.0	4927400000.0	2889300000.0
O08999	Ltbp2	492430000.0	2231600000.0	514300000.0	2967200000.0
P35951	Ldlr	1570400000.0	2167500000.0	2671300000.0	2203300000.0
P15116	Cdh2	4890600000.0	3772800000.0	4307800000.0	2152000000.0
P63005	Pafah1b1	1926600000.0	719640000.0	2651600000.0	1747800000.0
P68510	Ywhah	9990300000.0	15369000000.0	6754300000.0	9696400000.0
Q91VI7	Rnh1	8115100000.0	4797300000.0	8597000000.0	11109000000.0
Q9EQH3	Vps35	1363500000.0	305330000.0	1715800000.0	774540000.0
Q60864	Stip1	877970000.0	667980000.0	1559600000.0	1406300000.0
P45376	Akr1b1	12423000000.0	7578100000.0	14212000000.0	10761000000.0
Q8JZQ9	Eif3b	521480000.0	1445600000.0	1141400000.0	1227100000.0
Q04447	Ckb	7666800000.0	10439000000.0	7166000000.0	8117700000.0
Q8CIE6	Copa	951450000.0	743540000.0	1013200000.0	945240000.0
P56399	Usp5	1508700000.0	1386000000.0	1754200000.0	1103500000.0
Q9CPV4	Glod4	2353100000.0	1227200000.0	5558900000.0	3813200000.0
Q91YI0	Asl	2191300000.0	1521200000.0	4309600000.0	2820900000.0
P48774	Gstm5	6001000000.0	5432800000.0	7846400000.0	3319200000.0
Q6WKZ8	Ubr2	140080000.0	13840000.0	400330000.0	23578000.0
P06797	Ctsl	49753000000.0	72781000000.0	81052000000.0	59205000000.0
P08122	Col4a2	4794400000.0	7959700000.0	4158400000.0	10404000000.0
Q8BPB5	Efemp1	10278000000.0	10754000000.0	11399000000.0	7982200000.0
Q9WVA4	Tagln2	4703600000.0	8820300000.0	4313700000.0	7088600000.0
P61982	Ywhag	8951300000.0	13040000000.0	16167000000.0	18139000000.0
P35487	Pdha2	1459900000.0	1179800000.0	3235100000.0	551460000.0
P30416	Fkbp4	2037800000.0	822460000.0	2603400000.0	1908400000.0
Q9CVB6	Arpc2	4697200000.0	2037400000.0	5306000000.0	5514400000.0
P50396	Gdi1	2675400000.0	1171500000.0	2298300000.0	1989900000.0
P35700	Prdx1	45851000000.0	76714000000.0	47059000000.0	44905000000.0
O08709	Prdx6	11081000000.0	34694000000.0	21770000000.0	24802000000.0
Q9CR16	Ppid	2370300000.0	2285200000.0	2992600000.0	2184800000.0
Q9QUM9	Psma6	12912000000.0	14560000000.0	9241200000.0	8824800000.0
Q8K1J6	Trnt1	1904800000.0	484150000.0	2894100000.0	1581800000.0
O70435	Psma3	11486000000.0	7097800000.0	10815000000.0	8460800000.0
Q9R1P0	Psma4	6715500000.0	5428700000.0	8634800000.0	9079300000.0
P29341	Pabpc1	1589800000.0	1828300000.0	1976500000.0	2226500000.0
Q9R1P4	Psma1	10127000000.0	11111000000.0	11744000000.0	11137000000.0
P47962	Rpl5	2946300000.0	3789000000.0	5934600000.0	4156700000.0
P08249	Mdh2	29101000000.0	17896000000.0	42708000000.0	24002000000.0
Q8C7R4	Uba6	203980000.0	8978900.0	386700000.0	9344900.0
Q3V1G4	Olfml2b	2179100000.0	603020000.0	1920700000.0	329580000.0
Q61398	Pcolce	11694000000.0	9646600000.0	12650000000.0	13170000000.0
Q8BRK9	Man2a2	511480000.0	302560000.0	846040000.0	436070000.0
Q76MZ3	Ppp2r1a	2445400000.0	2124400000.0	2334700000.0	1703400000.0
Q9CZ44	Nsfl1c	1594000000.0	366200000.0	2501000000.0	1039600000.0
P24369	Ppib	15716000000.0	34149000000.0	14677000000.0	16621000000.0
Q6P5H2	Nes	89088000.0	59935000.0	257760000.0	334720000.0
Q9DBJ1	Pgam1	15059000000.0	25959000000.0	16793000000.0	23278000000.0
Q5XJY5	Arcn1	538970000.0	1343300000.0	1200200000.0	1054000000.0
Q9Z1Z0	Uso1	300070000.0	701150000.0	818130000.0	592840000.0
P62908	Rps3	350390000.0	1791300000.0	1343700000.0	1181900000.0
P61202	Cops2	479400000.0	453440000.0	1800000000.0	1012600000.0
P26443	Glud1	1890500000.0	1741500000.0	2556500000.0	2309400000.0
Q9Z1N5	Ddx39b	5943400000.0	4485400000.0	7397500000.0	5865200000.0
Q9R1P3	Psmb2	3936000000.0	5128500000.0	4851300000.0	4035400000.0
Q9CPY7	Lap3	2903000000.0	2572600000.0	3849000000.0	4547600000.0
Q8BWT1	Acaa2	2883800000.0	2335400000.0	4549200000.0	2284000000.0
P08228	Sod1	19430000000.0	21152000000.0	14620000000.0	10214000000.0
P56480	Atp5b	8831600000.0	5106500000.0	7539500000.0	4927200000.0
Q7TMM9	Tubb2a		57395000.0	38772000.0	36096000.0
Q60841	Reln	49562000.0		154720000.0	
P29268	Ctgf	5238000000.0	26470000000.0	5162500000.0	20832000000.0
Q810U4	Nrcam	642330000.0	665830000.0	1223900000.0	542470000.0
Q9WU78	Pdcd6ip	452870000.0	3645900000.0	733150000.0	2880200000.0
Q9DBC7	Prkar1a	1386500000.0	1596700000.0	1375000000.0	1956100000.0
Q9ER72	Cars	428150000.0	268720000.0	1051100000.0	535890000.0
Q922B2	Dars	1740500000.0	654970000.0	1672600000.0	1144500000.0
Q8VIJ6	Sfpq	576350000.0	273520000.0	781450000.0	441830000.0
Q9Z2X1	Hnrnpf	1680600000.0	2474900000.0	4198000000.0	3163300000.0
Q8BG32	Psmd11	2156000000.0	934500000.0	2092800000.0	857910000.0
Q9R0P5	Dstn	2479200000.0	3874300000.0	4223600000.0	4202100000.0
Q3THS6	Mat2a	1005300000.0	556150000.0	1439600000.0	924960000.0
P80318	Cct3	1949000000.0	928990000.0	1198600000.0	1010100000.0
Q9JIF7	Copb1	904990000.0	959900000.0	1043200000.0	942530000.0
Q9CQV8	Ywhab	7822600000.0	12608000000.0	8454200000.0	6726800000.0
P47757	Capzb	2067100000.0	2242200000.0	2839600000.0	2625200000.0
Q9JIF0	Prmt1	1923400000.0	2650500000.0	2272000000.0	1803800000.0
P45377	Akr1b8	9183300000.0	8800500000.0	12693000000.0	10733000000.0
Q9R1T2	Sae1	1326800000.0	687190000.0	1400000000.0	574470000.0
Q9Z2W0	Dnpep	7492800000.0	4022600000.0	8185400000.0	5371900000.0
P19324	Serpinh1	4650800000.0	5055400000.0	7534800000.0	8036900000.0
O35660	Gstm6	3559400000.0	3035500000.0	5010000000.0	1947900000.0
P14152	Mdh1	14524000000.0	11393000000.0	22569000000.0	21686000000.0
Q9CWF2	Tubb2b		143060000.0		31394000.0
O88968	Tcn2	9211600000.0	3875300000.0	10720000000.0	5571400000.0
P97290	Serping1	4508000000.0	10328000000.0	6779600000.0	18460000000.0
Q08761	Pros1	1799800000.0	2203100000.0	1815700000.0	4099700000.0
P18242	Ctsd	8825400000.0	22649000000.0	12608000000.0	29305000000.0
Q9R118	Htra1	3957900000.0	2728600000.0	2602400000.0	1734800000.0
Q61696;P17879	Hspa1a;Hspa1b	290000000.0	488060000.0	403220000.0	331790000.0
P23249	Mov10	188500000.0	112650000.0	301380000.0	28210000.0
P31254	Uba1y	71351000.0		306920000.0	15722000.0
Q8VI75	Ipo4	553300000.0	233230000.0	689010000.0	454920000.0
Q91YR9	Ptgr1	5900300000.0	3336900000.0	6257700000.0	5476800000.0
P68040	Gnb2l1	2087800000.0	1568600000.0	3419000000.0	3795500000.0
Q9WV32	Arpc1b	2521100000.0	2707200000.0	3277200000.0	2697700000.0
Q9WVJ2	Psmd13	1008100000.0	1641200000.0	1996300000.0	1230800000.0
P45591	Cfl2	1891200000.0	1733800000.0	2524900000.0	1588600000.0
Q8BWZ3	Naa25	203310000.0	209640000.0	842770000.0	3885900000.0
P31001	Des	636880000.0	919170000.0	594620000.0	1606500000.0
Q9JKB1;P58321	Uchl3;Uchl4	1737100000.0	1892800000.0	1845100000.0	1148500000.0
P54227	Stmn1	3443400000.0	1512100000.0	2774100000.0	1665600000.0
Q9Z2U0	Psma7	8500700000.0	11265000000.0	9742400000.0	10664000000.0
Q9DCJ9	Npl	1198200000.0	282890000.0	3474200000.0	1607300000.0
O08749	Dld	6146000000.0	5387100000.0	14045000000.0	7529000000.0
Q99LX0	Park7	6715800000.0	7521200000.0	8460800000.0	6013500000.0
P10518	Alad	3216200000.0	1893100000.0	5410100000.0	4280800000.0
P53026	Rpl10a	8007000000.0	13254000000.0	10164000000.0	11285000000.0
P47877	Igfbp2	372170000.0	4064400000.0	657420000.0	4327500000.0
P97298	Serpinf1	4781100000.0	10367000000.0	5800700000.0	28591000000.0
Q04592	Pcsk5	998320000.0	751850000.0	1213000000.0	964250000.0
O09164	Sod3	12798000000.0	7141900000.0	14718000000.0	6791000000.0
Q62179	Sema4b	1141900000.0	720510000.0	1352200000.0	1432600000.0
Q60675	Lama2	69595000.0	36916000.0	141330000.0	47891000.0
P29533	Vcam1	867070000.0	2970200000.0	1018200000.0	2298900000.0
Q9R0E2	Plod1	1285900000.0	1953500000.0	734730000.0	1918300000.0
P54923	Adprh	1875200000.0	823850000.0	1514500000.0	917140000.0
Q9JMH6	Txnrd1	6189800000.0	5214600000.0	5780200000.0	7475400000.0
P61979	Hnrnpk	1243900000.0	1178600000.0	2071900000.0	1753400000.0
P11983	Tcp1	8676100000.0	6032500000.0	2169600000.0	967900000.0
Q9D1Q6	Erp44	2491400000.0	1981900000.0	3263200000.0	1975000000.0
Q9CQI6	Cotl1	2608300000.0	2946100000.0	1987200000.0	2478400000.0
Q99JI4	Psmd6	4844200000.0	1660400000.0	1562400000.0	1274300000.0
P23492	Pnp	3289700000.0	5236300000.0	6216600000.0	5601400000.0
Q7TMK9	Syncrip	323220000.0	648190000.0	699160000.0	1469700000.0
Q6PDN3	Mylk	957690000.0	708420000.0	1740000000.0	1126000000.0
Q00915	Rbp1	2200000000.0	4047900000.0	3733000000.0	1424000000.0
Q9WUB3	Pygm	427850000.0	670650000.0	328560000.0	485610000.0
P17742	Ppia	41548000000.0	72055000000.0	49720000000.0	31887000000.0
Q64737	Gart	412380000.0	366690000.0	906770000.0	571220000.0
Q921M7	Fam49b	1487900000.0	881180000.0	2675400000.0	1189700000.0
P21981	Tgm2	1534900000.0	1606100000.0	1493500000.0	976770000.0
P57759	Erp29	3735000000.0	5061300000.0	4026900000.0	4765700000.0
Q62348	Tsn	3258000000.0	3194400000.0	5433800000.0	3082700000.0
P47791	Gsr	3964500000.0	3624200000.0	4468800000.0	3393400000.0
P58389	Ppp2r4	2877700000.0	610280000.0	4400200000.0	1523600000.0
Q9JHW2	Nit2	1191600000.0	916470000.0	2734300000.0	1886800000.0
Q9QXT0	Cnpy2	833440000.0	1753400000.0	2018300000.0	1041000000.0
P97807	Fh	2717100000.0	1770900000.0	3698900000.0	3405000000.0
Q64433	Hspe1	6487600000.0	3560600000.0	5376500000.0	4607000000.0
Q9ERD7	Tubb3	14965000.0		31123000.0	2468100.0
Q9ER58	Spock2	3362100000.0	1257900000.0	4954300000.0	941250000.0
O54782	Man2b2	712660000.0	955660000.0	1382800000.0	974590000.0
P70699	Gaa	445000000.0	570550000.0	621900000.0	545490000.0
P70458	Serpina5	1039800000.0	629640000.0	1544300000.0	725440000.0
Q9WV54	Asah1	1844100000.0	2992200000.0	2322200000.0	4542100000.0
P51655	Gpc4	1147100000.0	207130000.0	2348900000.0	1291000000.0
Q61112	Sdf4	5545800000.0	4776100000.0	7332000000.0	5141100000.0
O70456	Sfn	541230000.0	2915600000.0	1435700000.0	2343600000.0
O09131	Gsto1	1154800000.0	3315000000.0	1083700000.0	3473100000.0
P50580	Pa2g4	628960000.0	301450000.0	1376800000.0	913400000.0
Q99K85	Psat1	1528800000.0	4018900000.0	1571800000.0	2583300000.0
Q9ET01	Pygl	195700000.0	374600000.0	186870000.0	258290000.0
P17751	Tpi1	7197900000.0	15911000000.0	4500300000.0	10427000000.0
Q6ZWX6	Eif2s1	745950000.0	708530000.0	923090000.0	1132400000.0
P63242;Q8BGY2	Eif5a;Eif5a2	3447700000.0	4085300000.0	2360700000.0	2817700000.0
Q9D8W5	Psmd12	1038000000.0	742140000.0	2077300000.0	1658900000.0
Q9WTX6	Cul1	314430000.0	78845000.0	730610000.0	144770000.0
P53810	Pitpna	528420000.0	636510000.0	860240000.0	624570000.0
P40336	Vps26a	1115200000.0	296470000.0	1562800000.0	821750000.0
P07724	Alb	245770000.0	2055000000.0	1020900000.0	770700000.0
Q9D0I9	Rars	736890000.0	710410000.0	1875700000.0	1752200000.0
