© 2000-2026 QIAGEN. All rights reserved.

ID	Molecules in Network	Score	Focus Molecules	Top Diseases and Functions
13	alpha tubulin,AMACR,AP1 gamma,BOLA1,Cargo proteins containing PTS1,CLPXP:substrate protein (mitochondrial matrix),ECH1,ELAC2,glutathione transferase,Gsta3,GSTK1,HDGFL3,HDHD5,HSD17B4,L3HYPDH,LANCL1,LONP1:substrate protein (mitochondrial matrix),ME2,MIX23,MRLC,MYLK,myosin light chain kinase,NUDT19,PAK,PEX5S,L:Cargo protein,PEX5S,L:Cargo:PEX13:PEX14:PEX2:PEX10:PEX12,PMPCB,POLDIP2,PTBP2,PTGR3,Rbmxl1,SSBP1,Substrate of LONP1 (mitochondrial matrix),TCR,TIMCC	20	22	[Lipid Metabolism, Organismal Injury and Abnormalities, Small Molecule Biochemistry]
14	20S proteasome,AMPK,ARPIN,CDC34,cyclin D,cyclin E,DNAJA2,E2 ubiquitin conjugating enzyme (UBA1 substrate),E2 ubiquitin conjugating enzyme (UBA1 substrate)_b,E2 Ubiquitin-conjugating enzyme,HINT1,HMGB2,HSP70,MLEC,NIF3L1,OGA,PCBD1,PPIH,pre-RISC,PTGDS,PTS,Specific granule membrane proteins,ST13,TSNAX,U4 snRNP Reactome,Ub:E2 (UBA1 substrate),Ub:E2 (UBA1 substrate) b,UBE2,UBE2/ubiquitin,UBE2A,UBE2G1,UBE2L3,UBE2V1,UBE2V2,Ubiquitin:E2 conjugating enzymes	19	19	[Developmental Disorder, Hereditary Disorder, Metabolic Disease]
15	Adaptor protein 1,ALP,C1Q (family),Ccl7,CGN,chemokine,Complement,Cxcl1,Cxcl5,GLRX,GPCR,HLA-DR group,HMGB1,HTRA1,IFN gamma,IL8R,Integrin,ITI,LGALS9,LUM,metalloprotease,MMP,MMP7,NMDA receptor,NUCB2,P3H1,PITRM1,PTPRZ1,PTX3,SOD,TCF,TCF/LEF,TNF (family),TNF receptor,TPD52L2	18	16	[Cell-To-Cell Signaling and Interaction, Cellular Movement, Hematological System Development and Function]
16	APOE,Azurophil granule membrane proteins,caveolin,CHI3L1,COL4,Collagen type IV,Ficolin-rich granule membrane proteins,Frizzled,FRZB,GC,HSF1 trimer:target gene,HSP70:DNAJB1:Ac-K80-HSF1 trimer:target gene,KIAA0319L,LRP,LRP1,LRP2,LRP8,LRPs Reactome,Lyz1/Lyz2,MRC2,NCSTN,NEU1,NIT2,PDGF-BB,PLAT,PLXDC2,PRCP,protease,Secretase gamma,secreted MMP,SERPINH1,Specific granule lumen proteins,SSC5D,Tertiary granule lumen proteins,thrombospondin	18	18	[Cellular Movement, Lipid Metabolism, Vitamin and Mineral Metabolism]
17	ABL1/2,ADK,AK1,AKT,ASAH2,atrial natriuretic peptide,CCDC80,Collagen type VI,ENAH,Integrin alpha 6 beta 4,Laminin 511,LATS,LHPP,MAN2A2,MAN2C1,MOB4,MST/KRS,MYG1,Myosin,NDPK,Nme1,NME3,NQO2,PDGF-AB,PDGF-DD,PGK,PITPNB,PP2A AC,SEMA6C,SEMA6D,SET,SGO1/PP2A,SPHK,STRIPAK,SVEP1	18	17	[DNA Replication, Recombination, and Repair, Nucleic Acid Metabolism, Small Molecule Biochemistry]
18	ACAC,ACACA,ACO2,BCR,C4a/C4b,CK2 alpha,collagen type i (family),CUTA,EXT1,GPD1,HDL,HDL/cholesterol,hemoglobin,Hif1,IDH3A,IKB,IKK (family),IKKA/B,KCTD12,LDH,LDH (family),LDHD,MHC II,Na ,K  -ATPase,NFkB (family),NGF,nicotinic acetylcholine receptor,NOS,PDHB,PI3K (family),PRKAA,RBP4,SERPINF1,SOD1,TNFRSF1B	17	14	[Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking]
19	ACP6,ATAC A,Capping complex (intermediate),DDX46,ERH,HIV-1 paused processive elongation,LSM2,Methylosome,MYB gene:hyperTEFb,MYOF,NCL,OSBP,POLR2E,POLR2H,PPM1N,PSPH,RNA polymerase,RNA polymerase II (2,7):RPAP2:Integrator:LEC:CBCAP:capped pre-snRNA:Initiation factors:snRNA gene,SMN:SM protein,SNRPB2,SNRPD1,SNRPD2,SNRPD3,Spliceosomal C Reactome,Spliceosomal C*,Spliceosomal m3G capped snRNA:SMN:SM:Snurportin complex,Spliceosomal m3G capped snRNAs with SMN:SM protein complex bound,Spliceosomal m7G capped snRNAs with SMN:SM protein complex bound,SRRT,THRAP3,U1 snRNP Reactome,U12 snRNP Reactome,U2 12S snRNP,UBL5,ZNF207	17	19	[Cancer, Cell Death and Survival, RNA Post-Transcriptional Modification]
20	aldose reductase,ATP6V1C1,COL16A1,Cst9,CTBS,DECR1,DNAH8,ENO3,Fatty Acid β-oxidation I,GZMK,HADH,HEMGN,Ifitm2,Igha,Ighe,Immunoglobulin,Integrin alpha L beta 2,ITIH5,IVD,MHC II,mir-150 (includes others),MRI1,MTORC2,NLRP5,OLFML3,phosphatidylinositol triphosphate,PRDX5,SMS,TBCB,TRIM28,tyrosine kinase,ZNF616,ZNF761,ZNF846	17	13	[Connective Tissue Disorders, Developmental Disorder, Endocrine System Disorders]
21	20S core particle of spermatoproteasome,20S CP:PSMF1,20S immunoproteasome core particle,20S thymoproteasome core particle,20S/PA700 proteasome,ADRM1:26S proteasome:UCHL5,ADRM1:26S proteasome:USP14,ALAD,ALDH16A1,ALDOC,APEH,CAB39,DERA,Ficolin-rich granule lumen proteins,GLB1L,GYG1,Half-immunoproteasome,Immunoproteasome Reactome,MAPK14,OSTF1,PA28-alpha-beta-20S proteasome,PA28gamma-20S proteasome,PDAP1,PIWIL2,Preholothymoproteasome,PSMA6,PSMA8,PSMB,PSMB7,PSMC,PSMD,PSMD6,Secretory granule lumen proteins,Spermatoproteasome,TBX6:RIPPLY2:26S proteasome	17	16	[Cell Cycle, Developmental Disorder, Gastrointestinal Disease]
22	CaMKII,DTD1,filamin,GADD34/PP1C,GADD34:PP1,GSK3,IKK,Integrin alpha 2 beta 1,ITPA,Kinetochore:CDC42:GTP:DIAPH2-2,Kinetochore:Mad1:MAD2,NT5C2,NUDC:EML4 homotrimer:Microtubule-bound kinetochore,PKG,PP1C,PP2C,PPM1A,PPM1B,PPM1L,PPP1CA,PPP1CB,PPP1CC,PPP1R12B,PPP1R7,PPP2CA,PPP2CB,PPP4C,PPP4R1,PTPA,PTPase,RB,RBX1:SKP1:CUL1:beta-TrCP1:catenin,Sister Centromere:Kinetochore:Microtubules,STAG2,RAD21-Ac-Cohesin:PDS5:CDCA5:WAPAL:Sister Centromeres:Kinetochores:Microtubules,ubiquitinated beta-catenin:RBX1:SCF(beta-TrCP1)	16	16	[Cell Cycle, Cell Death and Survival, Post-Translational Modification]
23	acute phase,alpha 1 antitrypsin,APPBP1/UBA3,ARL2BP,E3/ISG15,FH,Gbp2,HYKK,IFI35,IFN,IFN beta,IFN type 1,IFN type I receptor,IFNAR,IFNAR2,IRF3,IRG,ISGF3 bound to ISRE promotor elements,JAK,JAK1/2,KYAT1,LIFR,MTAP,NMI,REXO2,small monomeric GTPase,SOCS,STAT,STAT1,STAT1/3/5 dimer,STAT4 dimer,Substrate of CLPXP (mitrochondrial matrix),TPRKB,Type I IFN-regulated genes with ISRE promoter elements,UAP1	16	15	[Antimicrobial Response, Infectious Diseases, Inflammatory Response]
24	ANXA5,basal body:transition zone proteins:RAB3IP:RAB11A:GTP:Golgi-derived vesicle,BID,CANX,caspase,CD3,CD8,Centrosome:C2CD3:distal appendage proteins,CS,CTSH,DISC,DLST,DYNC1H1,Dynein:Dynactin:microtubule,Dynein:Dynactin:microtubules:PAFAH1B1,G6PD,histone H2A,histone H4,HTRA2,IAP,IDH2,IMMT,IPO4,MGARP,Misfolded Proteins:HDAC6:Microtubule:Dynein,Mt1,NOTCH,NUMA1 homodimer:Mature centrosome:nucleated microtubules,PGK1,Poly-vimentin:Misfolded Proteins:HDAC6:Microtubule:Dynein,PPA1,SUCLA2,TALDO1,TPI1,TUBA1A	15	20	[Carbohydrate Metabolism, Neurological Disease, Small Molecule Biochemistry]
25	4-Hyp collagen propeptides,4-Hyp collagen propeptides:P4HB,ANG,CNPY3,COL12A1,COL14A1,COL16A1,COL5A2,COLGALT1,COLGALT2:Galactosyl-hydroxylysyl collagen propeptides,Collagen and procollagen triple helices:Serpin H1,Collagen type I,II:XII,XIV fibrils,Collagens and tropocollagens,Collagens and tropocollagens:Serpin H1,cytokine,Eif1a,GALNT1,LYPLA2,Lysyl hydroxylases:Lysyl hydroxylated collagen propeptides,Neurofilament,OGN,PLOD3,PLOD3:Fe2  dimer:Glucosyl-galactosyl-hydroxylysyl collagen propeptides,POFUT2,Prolyl 3-hydroxylases:Fe2 :3,4-Hyp collagen propeptides,PURA,RAB6:GTP:BICD dimer:COPI-independent retrograde cargo:Dynein:Dynactin:microtubules,RENBP,RNase A,RNASE4,RNH1,RTRAF,SERPINI1,SLC38A10,UFM1,UFM1/UFL1	15	20	[Connective Tissue Disorders, Dermatological Diseases and Conditions, Organismal Injury and Abnormalities]
