© 2000-2026 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
ILK Signaling	2E00	3.55E-02	NaN	AKT1,CTNNB1,MAPK9,MYH10,MYH14,MYO10,TNFRSF1A	
Mitochondrial iron-sulfur cluster biogenesis	1.99E00	1.54E-01	NaN	FDX2,ISCU	
Trafficking and processing of endosomal TLR	1.99E00	1.54E-01	NaN	CTSK,CTSS	
High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells	1.97E00	5.63E-02	NaN	AKT1,CTNNB1,GNG5,MLST8	
ESR-mediated signaling	1.94E00	3.87E-02	NaN	CBFB,CHD1,DDX5,GTF2F2,H2AJ,SMC3	
Lysosome Positioning Signaling Pathway	1.93E00	3.85E-02	NaN	AKT1,BLOC1S2,DCTN6,DYNC1I2,MLST8,TMEM106B	
Colanic Acid Building Blocks Biosynthesis	1.92E00	1.43E-01	NaN	GMPPB,PMM2	
Thiamin Salvage III	1.92E00	1E00	NaN	TPK1	
Asparagine Biosynthesis I	1.92E00	1E00	NaN	ASNS	
Sulfite Oxidation IV	1.92E00	1E00	NaN	SUOX	
Mitophagy	1.91E00	7.5E-02	NaN	MAP1LC3A,UBE2D2,ULK1	
trans-Golgi Network Vesicle Budding	1.89E00	5.33E-02	NaN	ARRB1,BLOC1S2,CLINT1,STX4	
DNA Double Strand Break Response	1.85E00	5.19E-02	NaN	BRCC3,MDC1,TP53BP1,UBXN1	
O-linked glycosylation	1.85E00	4.24E-02	NaN	ADAMTS7,ADAMTSL2,B3GNT7,GALNT2,POFUT4	
PAK Signaling	1.85E00	4.24E-02	NaN	ITGAV,MAP2K1,MAPK9,PDGFA,WASL	
Xenobiotic Metabolism General Signaling Pathway	1.84E00	3.68E-02	NaN	AKT1,Gstp1 (includes others),GSTT1,GSTZ1,MAP2K1,MAPK9	
SUMOylation of DNA damage response and repair proteins	1.83E00	5.13E-02	NaN	MDC1,NUP93,NUP98,SMC3	
Netrin-1 signaling	1.8E00	6.82E-02	NaN	MYO10,RGMB,WASL	
DDX58/IFIH1-mediated induction of interferon-alpha/beta	1.78E00	4.94E-02	NaN	ISG15,RIGI,UBE2D2,UBE2L6	
Regulation of eIF4 and p70S6K Signaling	1.77E00	3.21E-02	NaN	AKT1,EIF2B2,EIF4EBP2,ITGAV,MAP2K1,PAIP2,RPS23	
Metabolism of water-soluble vitamins and cofactors	1.76E00	4.88E-02	NaN	BTD,MMUT,PCCB,TPK1	
Protein methylation	1.76E00	1.18E-01	NaN	EEF1AKMT2,METTL21A	
Mechanical load activates signaling by PIEZO1 and integrins in osteocytes	1.76E00	1.18E-01	NaN	AKT1,ITGAV	
RHOGDI Signaling	1.75E00	3.18E-02	NaN	CDH17,GNG5,ITGAV,MYH10,MYH14,MYO10,WASL	
SUMOylation of DNA replication proteins	1.75E00	6.52E-02	NaN	NUP93,NUP98,RANGAP1	
RNA polymerase II transcribes snRNA genes	1.74E00	4.82E-02	NaN	GTF2E1,GTF2F2,NCBP2,RPRD1B	
DYRK1A Signaling Pathway	1.74E00	3.49E-02	NaN	AKT1,MAP2K1,MAPK15,MAPK9,MME,TP53BP1	
Phagosome Maturation	1.72E00	3.45E-02	NaN	CTSF,CTSK,CTSS,DYNC1I2,HLA-A,RAB5A	
Metabolism of amine-derived hormones	1.71E00	1.11E-01	NaN	CGA,TSHB	
Mitochondrial unfolded protein response (UPRmt)	1.71E00	1.11E-01	NaN	AKT1,LONP1	
Isoleucine Degradation I	1.71E00	1.11E-01	NaN	ACAT1,AUH	
TP53 Regulates Metabolic Genes	1.71E00	4.71E-02	NaN	AKT1,LAMTOR4,MLST8,TIGAR	
Role of MAPK Signaling in the Pathogenesis of Influenza	1.71E00	4.71E-02	NaN	AKT1,MAP2K1,MAPK9,PLA2R1	
Agranulocyte Adhesion and Diapedesis	1.71E00	3.11E-02	NaN	Ccl9,JAM3,MMP13,MYH10,MYH14,MYO10,TNFRSF1A	
DNA Damage Bypass	1.7E00	6.25E-02	NaN	ISG15,POLE3,UBE2L6	
Asparagine N-linked glycosylation	1.68E00	3.85E-02	NaN	CGA,FUOM,GMPPB,PMM2,UBXN1	
RHO GTPases activate CIT	1.67E00	1.05E-01	NaN	MYH10,MYH14	
RHO GTPases Activate ROCKs	1.67E00	1.05E-01	NaN	MYH10,MYH14	
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	1.66E00	3.79E-02	NaN	BRCC3,MDC1,POLE3,RAD1,TP53BP1	
Response to elevated platelet cytosolic Ca2+	1.66E00	3.79E-02	NaN	CD109,PDGFA,PLG,SCG3,STX4	
Tumor Microenvironment Pathway	1.65E00	3.33E-02	NaN	AKT1,HLA-A,MAP2K1,MMP13,PDGFA,TNFRSF1A	
NAP1L1 Transcription Regulation Signaling Pathway	1.65E00	4.49E-02	NaN	AKT1,CTNNB1,DDX5,UBR4	
Gα12/13 Signaling	1.63E00	3.73E-02	NaN	AKT1,CDH17,CTNNB1,MAP2K1,MAPK9	
Transcriptional regulation by RUNX2	1.63E00	5.88E-02	NaN	AKT1,CBFB,MMP13	
FAT10 Cancer Signaling Pathway	1.63E00	5.88E-02	NaN	AKT1,CTNNB1,TNFRSF1A	
Thiosulfate Disproportionation III (Rhodanese)	1.62E00	5E-01	NaN	TST	
Threonine Degradation II	1.62E00	5E-01	NaN	GCAT	
Maternal to Zygotic Transition Signaling Pathway	1.61E00	3.68E-02	NaN	CGA,MAP2K1,NUP98,PAIP2,SMARCC1	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	1.61E00	2.61E-02	NaN	AKT1,CTNNB1,LRP6,MAP2K1,MAPK9,MMP13,PDGFA,SFRP2,TNFRSF1A	
Glutathione-mediated Detoxification	1.61E00	5.77E-02	NaN	Gstp1 (includes others),GSTT1,GSTZ1	
PKR-mediated signaling	1.6E00	4.35E-02	NaN	DNAJC3,EIF2B2,ISG15,UBE2L6	
Role of PKR in Interferon Induction and Antiviral Response	1.59E00	3.62E-02	NaN	DNAJC3,MAPK9,PDGFA,RIGI,TNFRSF1A	
EPH-Ephrin signaling	1.58E00	4.3E-02	NaN	AP2A1,MYH10,MYH14,WASL	
RHO GTPases activate PAKs	1.58E00	9.52E-02	NaN	MYH10,MYH14	
Branched-chain amino acid catabolism	1.58E00	9.52E-02	NaN	ACAT1,AUH	
Citric acid cycle (TCA cycle)	1.58E00	9.52E-02	NaN	SUCLG1,SUCLG2	
UVB-Induced MAPK Signaling	1.56E00	5.56E-02	NaN	AKT1,MAP2K1,MAPK9	
AMPK Signaling	1.55E00	2.88E-02	NaN	AKT1,CKM,GNG5,MLST8,PPM1G,SMARCC1,ULK1	
Insertion of tail-anchored proteins into the endoplasmic reticulum membrane	1.55E00	9.09E-02	NaN	GET4,UBL4A	
Acute Phase Response Signaling	1.54E00	3.14E-02	NaN	AKT1,AMBP,MAP2K1,MAPK9,PLG,TNFRSF1A	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	1.54E00	3.12E-02	NaN	AKT1,MAP2K1,MAPK9,PPP1R11,PPP1R14A,TNFRSF1A	
CSDE1 Signaling Pathway	1.52E00	5.36E-02	NaN	AKT1,CTNNB1,RPL9	
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway	1.52E00	3.09E-02	NaN	AKT1,MAP2K1,MAPK9,PDGFA,SMURF1,TNFRSF1A	
Cyclophilin Signaling Pathway	1.51E00	2.83E-02	NaN	AKT1,BSG,CTNNB1,HLA-A,MAP2K1,MAPK9,SF3B6	
Nephrin family interactions	1.51E00	8.7E-02	NaN	KIRREL2,WASL	
Nucleotide salvage	1.51E00	8.7E-02	NaN	APRT,MAPDA	
Neutrophil degranulation	1.51E00	2.3E-02	NaN	APRT,CTSS,DBNL,DNAJC3,DSC1,HUWE1,ITGAV,MME,STOM,UBR4,YPEL5	
FXR/RXR Activation	1.51E00	3.08E-02	NaN	AKT1,Gstp1 (includes others),GSTT1,GSTZ1,Il36a,MAPK9	
G alpha (s) signalling events	1.51E00	3.45E-02	NaN	ARRB1,AVP,CGA,GNG5,TSHB	
Signaling by PDGF	1.48E00	5.17E-02	NaN	COL6A5,PDGFA,PLG	
Role of IL-17A in Arthritis	1.48E00	5.17E-02	NaN	MAP2K1,MAPK9,MMP13	
ATM Signaling	1.48E00	4E-02	NaN	MAPK9,MDC1,SMC3,TP53BP1	
Autism Signaling Pathway	1.48E00	2.61E-02	NaN	AKT1,CTNNB1,HLA-A,Il36a,LRP6,MAP2K1,MECP2,MLST8	
IL-22 Signaling	1.48E00	8.33E-02	NaN	AKT1,MAPK9	
Sumoylation Pathway	1.47E00	3.96E-02	NaN	MAPK9,RAN,RANGAP1,RCC1	
Pulmonary Hypertension Signaling Pathway	1.47E00	2.46E-02	NaN	AKT1,CTNNB1,FHIT,HK2,LRP6,MAP2K1,MAPK9,MLST8,PDGFA	
SUMOylation of nuclear envelope proteins	1.45E00	3.33E-01	NaN	RANGAP1	
NADH Repair	1.45E00	3.33E-01	NaN	NAXD	
S-adenosyl-L-methionine Biosynthesis	1.45E00	3.33E-01	NaN	MAT2B	
4-aminobutyrate Degradation I	1.45E00	3.33E-01	NaN	SUCLG2	
Endometrial Cancer Signaling	1.45E00	5E-02	NaN	AKT1,CTNNB1,MAP2K1	
Ephrin Receptor Signaling	1.44E00	2.97E-02	NaN	AKT1,GNG5,ITGAV,MAP2K1,PDGFA,WASL	
Incretin synthesis, secretion, and inactivation	1.44E00	8E-02	NaN	CTNNB1,DPP4	
Metabolism of cofactors	1.44E00	8E-02	NaN	AKT1,HPDL	
Dilated Cardiomyopathy Signaling Pathway	1.44E00	3.31E-02	NaN	AKT1,BAG3,MYH10,MYH14,MYO10	
Assembly of collagen fibrils and other multimeric structures	1.43E00	4.92E-02	NaN	COL6A5,CTSS,MMP13	
Hematoma Resolution Signaling Pathway	1.43E00	2.71E-02	NaN	CDNF,Il36a,MAPK9,MMP13,NDUFA2,NDUFV3,PLG	
Intra-Golgi and retrograde Golgi-to-ER traffic	1.43E00	2.94E-02	NaN	BICD2,DCTN6,DYNC1I2,GALNT2,KIF18B,KIF2B	
Sheddase Signaling Pathway	1.43E00	2.94E-02	NaN	BSG,ITGAV,MAPK9,MMP13,PDGFA,PLG	
Complex III assembly	1.41E00	7.69E-02	NaN	ISCU,UQCRC1	
Clathrin-mediated Endocytosis Signaling	1.38E00	2.87E-02	NaN	AP2A1,ARRB1,EPS15,PDGFA,RAB5A,WASL	
Syndecan interactions	1.38E00	7.41E-02	NaN	ITGAV,VTN	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	1.38E00	7.41E-02	NaN	CGA,TSHB	
Collagen degradation	1.38E00	4.69E-02	NaN	COL6A5,CTSK,MMP13	
Semaphorin interactions	1.38E00	4.69E-02	NaN	MYH10,MYH14,SEMA3A	
Peroxisomal protein import	1.38E00	4.69E-02	NaN	ACOX1,PECR,UBE2D2	
HIF1α Signaling	1.37E00	2.86E-02	NaN	AKT1,HK2,MAP2K1,MMP13,NAA10,RAN	
Ovarian Cancer Signaling	1.36E00	3.14E-02	NaN	AKT1,ARRB1,CGA,CTNNB1,MAP2K1	
Sulfur amino acid metabolism	1.35E00	7.14E-02	NaN	SUOX,TST	
HMGB1 Signaling	1.35E00	3.12E-02	NaN	AKT1,Il36a,MAP2K1,MAPK9,TNFRSF1A	
Activin Inhibin Signaling Pathway	1.35E00	2.82E-02	NaN	AKT1,CTNNB1,MAP2K1,MAPK15,MAPK9,TNFRSF1A	
Activation of IRF by Cytosolic Pattern Recognition Receptors	1.34E00	4.55E-02	NaN	ISG15,MAPK9,RIGI	
Preeclampsia Signaling Pathway	1.34E00	3.11E-02	NaN	AKT1,ANGPTL4,CTNNB1,MAPK9,MLST8	
Nonhomologous End-Joining (NHEJ)	1.33E00	4.48E-02	NaN	BRCC3,MDC1,TP53BP1	
Heme Biosynthesis from Uroporphyrinogen-III I	1.33E00	2.5E-01	NaN	CPOX	
Adenine and Adenosine Salvage I	1.33E00	2.5E-01	NaN	APRT	
Nicotinate metabolism	1.32E00	6.9E-02	NaN	NAXD,QPRT	
Energy dependent regulation of mTOR by LKB1-AMPK	1.32E00	6.9E-02	NaN	LAMTOR4,MLST8	
Peroxisomal lipid metabolism	1.32E00	6.9E-02	NaN	ACOX1,PECR	
Interconversion of nucleotide di- and triphosphates	1.32E00	6.9E-02	NaN	DCTD,NME4	
Myogenesis	1.32E00	6.9E-02	NaN	BOC,CTNNB1	
Response of EIF2AK1 (HRI) to heme deficiency	1.32E00	6.9E-02	NaN	ASNS,EIF2B2	
Inhibition of ARE-Mediated mRNA Degradation Pathway	1.32E00	3.07E-02	NaN	AKT1,DIS3,EXOSC7,MAPK15,TNFRSF1A	
IL-17A Signaling in Airway Cells	1.31E00	4.41E-02	NaN	AKT1,MAP2K1,MAPK9	
Activation of kainate receptors upon glutamate binding	1.3E00	6.67E-02	NaN	GNG5,GRIK4	
Regulation of TP53 Activity through Acetylation	1.3E00	6.67E-02	NaN	AKT1,CHD4	
mRNA Capping	1.3E00	6.67E-02	NaN	GTF2F2,NCBP2	
Signaling by CSF3 (G-CSF)	1.3E00	6.67E-02	NaN	RNF7,UBE2D2	
TP53 Regulates Transcription of DNA Repair Genes	1.28E00	4.29E-02	NaN	GTF2F2,MDC1,TCEA1	
NAFLD Signaling Pathway	1.27E00	2.69E-02	NaN	AKT1,Il36a,MAPK9,MLST8,TNFRSF1A,ULK1	
Glioma Invasiveness Signaling	1.27E00	4.23E-02	NaN	ITGAV,PLG,VTN	
Gap Junction Signaling	1.25E00	2.34E-02	NaN	AKT1,CTNNB1,LRP6,MAP2K1,MAPK9,SGSM3,TJP1,TNFRSF1A	
Cereblon and Thalidomide Signaling Pathway	1.25E00	2.92E-02	NaN	BSG,CTNNB1,GCN1,MAP1LC3A,MLST8	
G-protein beta:gamma signalling	1.25E00	6.25E-02	NaN	AKT1,GNG5	
Thrombin signalling through proteinase activated receptors (PARs)	1.25E00	6.25E-02	NaN	ARRB1,GNG5	
Mitochondrial Dysfunction	1.24E00	2.33E-02	NaN	CPOX,Gstp1 (includes others),GSTT1,GSTZ1,MAPK9,NDUFA2,NDUFV3,UQCRC1	
CLEAR Signaling Pathway	1.24E00	2.46E-02	NaN	AKT1,CTSF,LAMTOR4,MAPK15,MAPK9,MLST8,TNFRSF1A	
WNT/β-catenin Signaling	1.23E00	2.89E-02	NaN	AKT1,APPL1,CTNNB1,LRP6,SFRP2	
Signaling by MST1	1.23E00	2E-01	NaN	SPINT1	
NAD Biosynthesis from 2-amino-3-carboxymuconate Semialdehyde	1.23E00	2E-01	NaN	QPRT	
Lactose Degradation III	1.23E00	2E-01	NaN	GLB1L3	
Tyrosine Degradation I	1.23E00	2E-01	NaN	GSTZ1	
Deubiquitination	1.22E00	2.44E-02	NaN	ARRB1,BRCC3,MAT2B,MBD5,RIGI,USP24,USP4	
Inhibition of Angiogenesis by TSP1	1.22E00	6.06E-02	NaN	AKT1,MAPK9	
Ribonucleotide Reductase Signaling Pathway	1.22E00	2.87E-02	NaN	AKT1,CTNNB1,MAPK9,MLST8,SMARCC1	
Chronic Myeloid Leukemia Signaling	1.22E00	2.43E-02	NaN	AKT1,CTNNB1,MAP2K1,MLST8,RAN,RCC1,ULK1	
L1CAM interactions	1.21E00	3.25E-02	NaN	AP2A1,ITGAV,MAP2K1,NRP2	
